"city","lat","lon","dist_cbd_km","mean_rentval","mean_actrent","mean_inc","mean_wage_inc","mean_educ_exp","rent_inc_ratio","wage_inc_share","pct_renters_fies","n_hh","pct_renter","pct_any_rent","pct_makeshift_wall","pct_strong_wall","pct_makeshift_roof","pct_college_grad","pct_some_college","pct_literate","pct_ofw"
"Makati",14.5547,121.0244,0,159465.787015698,44144.8729427693,799536.338056092,481502.268208326,11132.3527051621,0.199381227003746,0.636179722315323,38.6611299822232,246670,0.79215151,23.768192,0.10783639,90.669724,2.6902339,22.173994,60.138672,99.089935,2.525485
"Mandaluyong",14.5794,121.0284,2.78004631501487,106003.423416572,30605.8304056186,666018.800662215,423219.998938984,14902.123527509,0.169152701733949,0.628193496167255,34.5374974263242,144781,1.8952763,29.052845,0.084955901,79.717644,1.3696549,16.855564,52.761536,98.803444,2.1212444
"Pasay",14.5378,121.0027,2.99771970662652,66199.2619272233,24827.6236272215,477314.268229478,329859.220272291,7870.10227985115,0.151743602574756,0.673829672218248,46.8157264295016,176224,1.1666969,32.71064,0.19634102,81.379951,2.2164972,18.243423,49.255253,99.096703,2.7327185
"Taguig",14.5243,121.0568,4.85676103456484,69318.2560528409,18703.9392297526,519597.482240042,342724.256358467,10000.5924495868,0.146488372828907,0.651545517635051,35.8117545833265,252183,0.48179302,35.771244,0.24664629,86.974541,3.623559,17.829887,44.572239,98.98143,2.3842735
"Pateros",14.5458,121.0686,4.85903257623353,68223.8849396095,15764.9670136,504768.281823199,328892.328236945,9574.19863509358,0.151018879236064,0.626272878130976,30.4737821615707,16734,0.3226963,26.783794,0.21513088,79.604401,4.7986135,19.888781,48.138466,99.272194,1.7588999
"San Juan",14.6019,121.045,5.697386435651,142676.349964192,34622.4441869359,842810.980988778,471136.310093315,17634.9626826684,0.189148154610636,0.575237128436629,40.4969579552806,36515,2.6564424,34.185951,0.12871423,75.604546,4.8582773,19.338339,59.50457,98.901352,1.911651
"Manila",14.5995,120.9842,6.59781755424961,64937.3478940692,23456.8146699295,482787.382160834,310378.100062894,8928.51296060349,0.144189309529349,0.621298163545195,42.3173927211038,558377,2.5156839,36.20314,0.27705297,69.970825,3.8654885,17.974106,47.202473,98.716042,2.2643442
"Pasig",14.5764,121.0851,6.96399087887238,82999.2553231549,22016.2474337888,590369.266980696,408785.071735404,13176.7640860383,0.160135550484841,0.654391741360753,39.7194876667834,249907,0.43896329,30.19323,0.35253114,86.026802,4.9178295,18.938803,49.661018,99.110229,2.5488555
"Paranaque",14.4793,121.0198,8.39870704088338,72751.4565916057,14196.773180313,556448.071168353,351490.672790223,13701.8676580143,0.136800961511478,0.655964828872565,34.1531807705733,209906,3.5191941,30.112049,0.22867379,82.525032,3.2595541,16.434219,48.708321,98.875267,1.9710002
"Caloocan",14.6507,120.9822,11.6003788702418,45552.3499511363,9590.47218391819,393238.06719694,261037.822064839,5340.32643243498,0.127439094071835,0.646829640592634,26.6023023606745,440745,2.2375751,26.842278,0.52184367,86.808929,5.1551352,15.705591,39.063347,98.921341,2.3616838
"Las Pinas",14.4453,120.9833,12.9443850448079,88804.2980654382,17080.7995799213,594928.9312175,414611.581155243,12024.1952225252,0.159094124241217,0.675593875872047,30.5276143992006,172889,2.311888,27.512449,0.31696638,84.884521,2.5143299,15.903007,50.231594,98.895248,2.3842287
"Quezon City",14.676,121.0437,13.646867550541,64523.582558042,11713.5111248795,480697.371016991,334286.308057251,8851.37262032795,0.133542446762686,0.696152482762169,27.0377443845213,851920,9.1049623,34.130081,0.42081416,82.432739,4.3608556,17.294825,47.650742,98.671524,2.2419965
"Navotas",14.6669,120.9669,13.925897840467,42518.2403582798,8402.8026620352,336980.116771599,241529.408178542,3143.30765816287,0.136144951752669,0.695735166766383,25.2487798688074,64541,3.1840224,27.529789,0.42453638,68.139633,6.3122668,13.385137,30.383142,98.920532,2.153374
"Marikina",14.6507,121.108,13.9596035307373,82778.2684877775,13573.2631650712,556554.087398247,357847.483093169,11383.2749874534,0.157382349981713,0.63614853170765,23.7576555990051,112127,4.0507636,26.740213,0.34781986,83.692596,5.0977907,17.891899,50.229092,98.762672,2.4432933
"Malabon",14.6625,120.9572,13.9988256225648,44827.4986619536,9848.51815940937,380597.718560955,265468.573094083,7617.73357773702,0.124026830250512,0.688182794424729,26.937269527393,99175,10.186034,35.559364,1.4277792,68.111923,3.2185533,13.732031,35.63274,99.145218,1.9473838
"Muntinlupa",14.4081,121.0497,16.5271810176155,57365.667826976,11330.5900790036,506182.218981819,345621.497600045,4354.62703569174,0.121688910375219,0.672253629310844,35.5726713313521,154819,2.837507,33.980972,0.33329242,81.214836,1.8744469,14.488602,42.56461,98.75029,2.1675761
"Valenzuela",14.7011,120.983,16.8773270580077,49656.5669259442,14859.5675131323,403068.990227048,290511.354994585,6220.01445801076,0.13416433692163,0.704974401288839,43.9845235053843,209108,1.1864682,40.987911,0.5748226,87.805824,3.0486639,14.096973,35.962631,99.308479,1.9604532
